element,Z,r_atomic_pm,crystal,valency,chi,"Rule 1, logic","Rule 1, difference, pm","Rule 1, difference, %","Rule 2, logic","Rule 3, logic","Rule 3, valency difference, unit","Rule 3, valency of dopant is higher, logic","Rule 4, logic","Rule 4, difference, Pauling scale","Rule 4, %"
Hf,72,159,hcp,4,1.3,True,-28,-15.555555555555555,False,False,2,True,True,0.18999999999999995,16.23931623931624
Ta,73,146,bcc,5,1.5,True,-56,-26.923076923076923,True,False,1,True,True,0.35,35.714285714285715
W,74,139,bcc,6,2.36,True,-28,-15.555555555555555,False,False,2,True,True,0.21999999999999997,18.333333333333332
Re,75,137,hcp,7,1.9,True,-25,-14.124293785310735,False,False,2,True,True,0.24,19.672131147540984
Os,76,135,hcp,4,2.2,True,-26,-14.606741573033707,False,False,2,True,True,0.24,19.672131147540984
Ir,77,136,fcc,3,2.2,True,-24,-13.636363636363635,False,False,2,True,True,0.25,20.32520325203252
Pt,78,139,fcc,2,2.28,True,-24,-13.636363636363635,False,False,2,True,True,0.26,20.967741935483872
Au,79,144,fcc,1,2.54,True,-24,-13.636363636363635,False,False,2,True,True,0.27,21.6
Hg,80,151,rhombo,2,2.0,True,-42,-21.649484536082475,False,False,1,True,True,0.1200000000000001,10.909090909090919
Bi,83,155,rhombo,5,2.02,True,-22,-12.643678160919542,False,False,2,True,True,0.29000000000000004,22.83464566929134
