target_key,target_label,model,n_features,n_train,n_test,eval_mode,hyperparam_search,select_best_by,best_params,n_iter_search,train_R2,train_MaxAE,train_MAE,train_RMSE,cv_R2,cv_MaxAE,cv_MAE,cv_RMSE,test_R2,test_MaxAE,test_MAE,test_RMSE
binding,$E_{\mathrm{b}}$,Ridge,29,9,10,opt_only_holdout,random,cv,{'model__alpha': 2.154434690031882},16,0.9867997889218915,0.012178766879016645,0.004093944944427227,0.005248784539753206,0.44928897357463543,0.035730185209019216,0.0272059028284569,0.02878656806895777,0.6079827426774549,0.07337750185898587,0.025308102346501916,0.03532341124371348
binding,$E_{\mathrm{b}}$,Lasso,29,9,10,opt_only_holdout,random,cv,{'model__alpha': 0.021544346900318832},16,0.43558601136943587,0.07579634884755673,0.02850794256394918,0.034321573647274284,0.10542624321029188,0.0648355351286859,0.027506898023411303,0.039083461620927414,0.23647113541194653,0.09871858051259044,0.03899555929643347,0.04929725922203242
binding,$E_{\mathrm{b}}$,ElasticNet,29,9,10,opt_only_holdout,random,cv,"{'model__l1_ratio': 0.55, 'model__alpha': 0.021544346900318832}",40,0.6166419126138327,0.05869382901621337,0.022645452043687855,0.028285940431039797,0.007456456894041508,0.06376499208951349,0.03210001783782785,0.04024219502481892,0.33786886004832917,0.08919155776755663,0.03622236509721831,0.04590733174470145
binding,$E_{\mathrm{b}}$,SVR,29,9,10,opt_only_holdout,random,cv,"{'model__kernel': 'linear', 'model__epsilon': 0.001, 'model__C': 0.021544346900318832}",40,0.9994250038530281,0.0014248651250493571,0.0010488146264296225,0.0010954707218726702,0.440283947286457,0.036667625365928026,0.02815342505037789,0.029291487315120934,0.5518944459397799,0.07106478524365087,0.02870958279698658,0.03776593210027953
binding,$E_{\mathrm{b}}$,RandomForest,29,9,10,opt_only_holdout,random,cv,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 2}",36,0.6327358017268834,0.06464740603174582,0.022400880088183386,0.02768583363153542,-0.1970057874558319,0.06616455740740734,0.03666975339506173,0.04520654032772218,0.16912982458701709,0.1049151236507936,0.03876276789682537,0.051425275801546065
binding,$E_{\mathrm{b}}$,GradientBoosting,29,9,10,opt_only_holdout,random,cv,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 1, 'model__learning_rate': 0.1}",40,0.9999844146859985,0.00034904157417639525,0.00015571058054562726,0.0001803541275253517,0.07306417054030434,0.05653798812115979,0.03182828184467129,0.037263610265088544,0.22900285038991297,0.1124341340841919,0.03798259952305488,0.049537767533404595
binding,$E_{\mathrm{b}}$,XGBoost,29,9,10,opt_only_holdout,random,cv,"{'model__subsample': 0.6, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 200, 'model__min_child_weight': 2, 'model__max_depth': 1, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",40,0.4984324820399165,0.07536285836219789,0.026089126155376435,0.03235437458776639,-0.27558201281755607,0.06912509991645814,0.03737913001139959,0.0467364775184556,0.20211932031205126,0.10032634164333343,0.038644292747974394,0.05039402174565175
binding,$E_{\mathrm{b}}$,CatBoost,29,9,10,opt_only_holdout,random,cv,"{'model__subsample': 1.0, 'model__min_data_in_leaf': 2, 'model__learning_rate': 0.1, 'model__l2_leaf_reg': 1.0, 'model__iterations': 100, 'model__depth': 2}",40,0.9999268211719904,0.0006978702115536112,0.00031857771361547423,0.00039080582879185604,0.22169744231836394,0.056294780268658806,0.02648791108580083,0.035219482305058676,0.2785331181745351,0.10109424769494935,0.036968879930060386,0.04792015836170507
solution,$E_{\mathrm{s}}$,Ridge,28,9,10,opt_only_holdout,random,cv,{'model__alpha': 100.0},16,0.2825994302900313,0.28720405178152425,0.08725575811348034,0.11738568127608233,-0.1404737673147889,0.21072996431067814,0.10067630925664266,0.13206395653307884,0.15052453638461205,0.20085576532962496,0.0916623349772112,0.11510999593528384
solution,$E_{\mathrm{s}}$,Lasso,28,9,10,opt_only_holdout,random,cv,{'model__alpha': 0.21544346900318823},16,0.0,0.3275377777777778,0.10235802469135802,0.1385907567687268,-0.2652417791237846,0.2292277777777778,0.10041185185185186,0.13746817515692594,-0.16508494597789025,0.2692177777777778,0.11132455555555554,0.13480823243673232
solution,$E_{\mathrm{s}}$,ElasticNet,28,9,10,opt_only_holdout,random,cv,"{'model__l1_ratio': 0.55, 'model__alpha': 2.154434690031882}",40,0.0,0.3275377777777778,0.10235802469135802,0.1385907567687268,-0.2652417791237846,0.2292277777777778,0.10041185185185186,0.13746817515692594,-0.16508494597789025,0.2692177777777778,0.11132455555555554,0.13480823243673232
