model,train_R2,train_MaxAE,train_MAE,train_RMSE,cv_R2,cv_MaxAE,cv_MAE,cv_RMSE,test_R2,test_MaxAE,test_MAE,test_RMSE
Ridge,0.03785710891212146,0.6964991055617819,0.15508308843644825,0.23427196637109488,-0.042592987313605134,0.5658035086771679,0.16577663720922617,0.23435386364708075,0.17431823604951435,0.08409024071921783,0.04393376716790694,0.05126446046617057
Lasso,0.0,0.690394,0.1621092,0.23883641030839498,-0.02213293320637333,0.5671432716049383,0.16307117826617826,0.23196541164153758,-0.32585659706959236,0.152474,0.04623940000000001,0.06496184059892392
ElasticNet,0.0,0.690394,0.1621092,0.23883641030839498,-0.02213293320637333,0.5671432716049383,0.16307117826617826,0.23196541164153758,-0.32585659706959236,0.152474,0.04623940000000001,0.06496184059892392
SVR,-0.009248793207420558,0.7339072965071098,0.14910757383717574,0.23993834257129104,-0.030247614248597787,0.5758833685629189,0.15145155796877077,0.23231233535229764,-0.7310714889425238,0.16254121633812948,0.05862756301842594,0.07422796363845698
RandomForest,0.10935173186296576,0.7130552917948233,0.1504833644030214,0.22539986366659934,-0.058356505629989806,0.5910497932430263,0.164325298075754,0.2373752621593114,-0.17513662593096968,0.13090125574199668,0.04421299440397307,0.06115813393851861
GradientBoosting,0.05746164754382599,0.6882547498493456,0.15893369148051809,0.2318729303854898,-0.03703482184792206,0.5721240135647427,0.1657342467198333,0.23400197972294942,-0.3161058159272505,0.14742060222377465,0.048745038798942125,0.06472252452049379
XGBoost,0.016035879646030815,0.6905978375959396,0.16037886567652224,0.23691369508366356,-0.02196356317579669,0.566783013125658,0.16323780662253443,0.23199560448699005,-0.3294291607740898,0.15171119926929474,0.04632246332979202,0.0650493026169504
CatBoost,0.021048030773534565,0.696244219191852,0.15937739540816886,0.23630952504932762,-0.03003963797642691,0.5736255772435542,0.16388732869877898,0.23313041622191433,-0.282659900369882,0.1492813449507091,0.045347422191318834,0.06389484241920751
