feature,importance_mdi,importance_perm_mean,importance_perm_std,significant
endmember_n_candidates,0.0,-5.773159728050814e-17,9.483150488903746e-17,False
MagpieData mode GSbandgap,0.0,-5.773159728050814e-17,9.219531579075155e-17,False
MagpieData mode NfUnfilled,0.0,-5.995204332975846e-17,8.939880897428318e-17,False
MagpieData range AtomicWeight,0.0,-5.995204332975846e-17,9.211506452140988e-17,False
mp_energy_above_hull,0.0,-5.995204332975846e-17,9.475348636090727e-17,False
MagpieData maximum GSbandgap,0.0,-5.995204332975846e-17,9.475348636090725e-17,False
MagpieData avg_dev Row,0.0,-5.995204332975846e-17,8.939880897428319e-17,False
MagpieData range NfUnfilled,0.0,-6.217248937900877e-17,9.462331253057295e-17,False
MagpieData range GSmagmom,0.0,-6.217248937900877e-17,9.969778034532538e-17,False
MagpieData avg_dev CovalentRadius,0.0,-6.217248937900877e-17,9.198115681211751e-17,False
MagpieData mean GSmagmom,0.0,-6.217248937900877e-17,9.462331253057295e-17,False
MagpieData range NfValence,0.0,-6.439293542825907e-17,9.701596093127252e-17,False
MagpieData range SpaceGroupNumber,0.0,-6.439293542825907e-17,9.444076773118197e-17,False
MagpieData mean GSbandgap,0.0,-6.439293542825907e-17,9.17933578419045e-17,False
MagpieData maximum GSmagmom,0.0,-6.439293542825907e-17,8.906729185356877e-17,False
MagpieData avg_dev NsValence,0.0,-6.661338147750939e-17,9.420554752102649e-17,False
endmember_is_stable,0.0,-6.661338147750939e-17,9.420554752102649e-17,False
mp_is_theoretical_fallback,0.0,-6.661338147750939e-17,9.678699938266252e-17,False
MagpieData range GSbandgap,0.0,-6.88338275267597e-17,9.902791085360078e-17,False
MagpieData range Row,0.0,-6.88338275267597e-17,9.650641979819564e-17,False
MagpieData avg_dev NValence,0.0,-7.105427357601002e-17,1.0117050086484019e-16,False
MagpieData avg_dev NUnfilled,0.0,-7.549516567451065e-17,1.0038773861482499e-16,False
MagpieData avg_dev GSvolume_pa,0.0,-8.43769498715119e-17,1.0310140977626414e-16,False
MagpieData mode GSmagmom,0.0,-8.43769498715119e-17,1.0068198762484779e-16,False
MagpieData range Column,0.0,-9.325873406851315e-17,1.0262208867831772e-16,False
MagpieData range NdValence,0.0,-9.547918011776346e-17,1.0417181877766436e-16,False
endmember_n_experimental,0.0,-9.992007221626409e-17,1.0473823066688542e-16,False
endmember_theoretical,0.0,-1.021405182655144e-16,9.637861359750625e-17,False
MagpieData minimum NfUnfilled,0.0,-1.0658141036401502e-16,1.0405342821915281e-16,False
