feature,importance_mdi,importance_perm_mean,importance_perm_std,significant
MagpieData range NsUnfilled,0.0,3.3306690738754695e-17,5.087681048627601e-17,False
MagpieData range AtomicWeight,0.0,3.3306690738754695e-17,5.661048867003675e-17,False
endmember_theoretical,0.0,3.3306690738754695e-17,5.087681048627601e-17,False
MagpieData avg_dev GSmagmom,0.0,3.3306690738754695e-17,5.661048867003676e-17,False
MagpieData avg_dev NUnfilled,0.0,3.3306690738754695e-17,5.661048867003675e-17,False
mp_is_theoretical_fallback,0.0,3.3306690738754695e-17,5.087681048627602e-17,False
MagpieData range NdUnfilled,0.0,3.3306690738754695e-17,5.087681048627601e-17,False
MagpieData avg_dev NsValence,0.0,3.3306690738754695e-17,5.087681048627601e-17,False
MagpieData range Column,0.0,3.053113317719181e-17,4.957304316902598e-17,False
MagpieData avg_dev CovalentRadius,0.0,3.053113317719181e-17,5.54417188698369e-17,False
mp_theoretical,0.0,3.053113317719181e-17,5.54417188698369e-17,False
MagpieData avg_dev NpValence,0.0,2.7755575615628914e-17,4.8074067159589095e-17,False
endmember_material_id_forced,0.0,2.7755575615628914e-17,4.8074067159589095e-17,False
MagpieData range NfValence,0.0,2.7755575615628914e-17,5.410557748946589e-17,False
MagpieData avg_dev NdUnfilled,0.0,2.4980018054066023e-17,5.258930880074458e-17,False
MagpieData avg_dev Row,0.0,2.4980018054066023e-17,4.636095143475979e-17,False
MagpieData range NfUnfilled,0.0,2.4980018054066023e-17,4.636095143475978e-17,False
MagpieData avg_dev NpUnfilled,0.0,2.4980018054066023e-17,4.636095143475978e-17,False
MagpieData range NdValence,0.0,2.2204460492503132e-17,4.440892098500627e-17,False
MagpieData avg_dev GSvolume_pa,0.0,2.2204460492503132e-17,5.087681048627602e-17,False
endmember_e_hull_max_eV_per_atom,0.0,2.2204460492503132e-17,4.4408920985006264e-17,False
MagpieData range NpValence,0.0,1.9428902930940238e-17,4.894749075098459e-17,False
endmember_n_near_hull,0.0,1.9428902930940238e-17,4.2184822728249147e-17,False
MagpieData range GSvolume_pa,0.0,1.9428902930940238e-17,4.894749075098458e-17,False
MagpieData avg_dev NValence,0.0,1.3877787807814457e-17,4.432209994207157e-17,False
MagpieData minimum GSmagmom,0.0,1.1102230246251566e-17,3.33066907387547e-17,False
