model,train_R2,train_MaxAE,train_MAE,train_RMSE,cv_R2,cv_MaxAE,cv_MAE,cv_RMSE,test_R2,test_MaxAE,test_MAE,test_RMSE
Ridge,0.9999999617113257,3.96754285504515e-05,1.806005948989055e-05,2.2462003491624805e-05,-0.8637330842751626,0.12106686393667578,0.07169800089683391,0.08173698505202942,-1.0394479915599155,0.3035338017644138,0.11119521545008253,0.1422561144801861
Lasso,0.0,0.28682888888888886,0.08385925925925924,0.114792450046396,-0.3569528109295132,0.1636733333333333,0.08421111111111108,0.10629650268851805,-0.1900588884628398,0.2484888888888889,0.07880155555555554,0.10866729367462825
ElasticNet,0.0,0.28682888888888886,0.08385925925925924,0.114792450046396,-0.32709527271387145,0.1621691489324008,0.08370971631080026,0.10564514104676621,-0.1900588884628398,0.2484888888888889,0.07880155555555554,0.10866729367462825
SVR,0.980843254326554,0.016235758988563886,0.015887603784516285,0.015888181486901486,0.283023983899122,0.07421757739059882,0.0428027365435315,0.05047790777496419,0.2181612964635481,0.15048646011116343,0.07650370199174947,0.0880791688538527
RandomForest,0.6255472110465479,0.19331392416666668,0.04137598814814815,0.07024442470859775,-0.08288765997545133,0.1487040125,0.0776494162037037,0.09680412198961226,0.00292950876077136,0.18377877940476187,0.08270580447619047,0.0994666649703666
GradientBoosting,0.9740032852514884,0.0424027210233707,0.014777932379016177,0.018508556953823606,-0.17015794975286194,0.15193888131181457,0.07411528382216455,0.09371082774322757,-0.10832629845631159,0.16858502816225662,0.09015588765966329,0.10486931812987062
XGBoost,0.6587148168644774,0.1763569859457016,0.041302031520869996,0.06706131143961123,-0.2530973081709987,0.15590898915886878,0.0814484215635889,0.10262271414422786,0.04398747508608336,0.17831532119989396,0.07979556296414136,0.0973971874912434
CatBoost,0.9751186624705531,0.04273724502039017,0.015011899437392602,0.0181071536398306,0.11277852181500751,0.13416410807852847,0.06975904253021105,0.08720499609261757,0.08069714144046158,0.14919489519000909,0.08120948619865356,0.09550891915147827
