split,n,R2,MaxAE,MAE,RMSE
train,9,-0.08709930675678468,0.11281425074313853,0.05553519385655251,0.06677673217031085
test,10,-54.38359616127187,0.7932794145715094,0.4177728293428561,0.47905054376920503
all_opt,19,-26.34189920518495,0.7932794145715094,0.24618658095460702,0.35056543968204307
