target_key,target_label,model,n_features,n_train,n_test,eval_mode,hyperparam_search,select_best_by,best_params,n_iter_search,train_R2,train_MaxAE,train_MAE,train_RMSE,cv_R2,cv_MaxAE,cv_MAE,cv_RMSE,test_R2,test_MaxAE,test_MAE,test_RMSE
binding,$E_{\mathrm{b}}$,Ridge,17,9,10,opt_only_holdout,random,cv,{'model__alpha': 21.54434690031882},16,0.6913925385487096,0.04997520307569284,0.02021192926323269,0.025378825445201904,0.3692957937359151,0.04695634509943001,0.023523133383792846,0.028985885861497074,0.44069030819525346,0.08614808888269065,0.032120059498735185,0.04219259306777293
binding,$E_{\mathrm{b}}$,Lasso,17,9,10,opt_only_holdout,random,cv,{'model__alpha': 0.01},16,0.6744427798355344,0.052991835312082874,0.020897091958554534,0.026066455096414736,0.2926581058154282,0.05026456638506257,0.02674325609689342,0.03220726079947509,0.317490226964799,0.09489664594294947,0.035906112140612886,0.046608430839046325
binding,$E_{\mathrm{b}}$,ElasticNet,17,9,10,opt_only_holdout,random,cv,"{'model__l1_ratio': 0.55, 'model__alpha': 0.021544346900318832}",40,0.6207928747673486,0.057147034693342175,0.022506534255377447,0.028132384994358193,0.29293094112920254,0.050792691594175134,0.026597491411886425,0.03231305438840445,0.2922635603028043,0.09378655059511462,0.03681363322351494,0.04746197683931493
binding,$E_{\mathrm{b}}$,SVR,17,9,10,opt_only_holdout,random,cv,"{'model__kernel': 'rbf', 'model__gamma': 0.000630957344480193, 'model__epsilon': 0.01584893192461114, 'model__C': 1.0}",40,0.5665740880343666,0.07035702237299613,0.022553145386831657,0.030076392476660184,0.3711616413218839,0.046319678335164004,0.02389177456102437,0.0292969511803198,0.37843314956423313,0.08975749371791092,0.03351285366573481,0.0444788926848701
binding,$E_{\mathrm{b}}$,RandomForest,17,9,10,opt_only_holdout,random,cv,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 2}",36,0.7075740742454872,0.06091835126984113,0.01870166255731921,0.024704510001128104,0.0675289277578179,0.06110630370370368,0.03210388796296299,0.03996655757511172,0.3243923517440993,0.09433145650793645,0.03474365511111109,0.046372159743441624
binding,$E_{\mathrm{b}}$,GradientBoosting,17,9,10,opt_only_holdout,random,cv,"{'model__subsample': 0.8, 'model__n_estimators': 50, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 1, 'model__learning_rate': 0.1}",40,0.9536727101314635,0.02078066792639588,0.006893634877659712,0.00983301620853877,0.3987866595687666,0.0463122060677523,0.02750939717861896,0.030842404806048673,0.3696238207975153,0.08519061742487724,0.034637352336635105,0.0447929784614102
binding,$E_{\mathrm{b}}$,XGBoost,17,9,10,opt_only_holdout,random,cv,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 200, 'model__min_child_weight': 2, 'model__max_depth': 1, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.5}",40,0.49604486000223647,0.0748604955148697,0.026296991559134588,0.03243129175193607,-0.2759627966169999,0.06873904808282853,0.03758903521855672,0.04676903673944203,0.17858670774475593,0.10047248362064362,0.03920355642437935,0.05113177954275415
binding,$E_{\mathrm{b}}$,CatBoost,17,9,10,opt_only_holdout,random,cv,"{'model__subsample': 1.0, 'model__min_data_in_leaf': 2, 'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1.0, 'model__iterations': 200, 'model__depth': 2}",40,0.9997528039705523,0.001099564245038015,0.0006045680163916316,0.0007182721919358831,0.3282829925043264,0.04956082020494215,0.02856678751064909,0.03300729806275727,0.24584725767670812,0.09622950698827032,0.03787302809463304,0.04899363945324709
solution,$E_{\mathrm{s}}$,Ridge,17,9,10,opt_only_holdout,random,cv,{'model__alpha': 0.001},16,0.9999999953049056,1.579665727596824e-05,7.904082500960474e-06,9.49634383134545e-06,-0.03347043318244902,0.19967691617017547,0.09695525216428846,0.12540113290752147,0.37451502414670645,0.19444787288371523,0.08076377560641837,0.09877477753254509
solution,$E_{\mathrm{s}}$,Lasso,17,9,10,opt_only_holdout,random,cv,{'model__alpha': 0.01},16,0.9735274439646525,0.043710214823300536,0.019467439786167374,0.02254925533554974,-0.1845833666363954,0.23314630877006937,0.09276573507843237,0.13657489157384947,0.2519253318676512,0.18888383062624453,0.0955486414206611,0.10802147255111177
