split,n,R2,MaxAE,MAE,RMSE
train,9,0.07264535629195235,0.10819991269752749,0.053806531061532485,0.061675613533834876
test,10,-1.2989333902962947,0.16736998321435875,0.07918793851820025,0.09760092992944347
all_opt,19,-0.5163089156079765,0.16736998321435875,0.06716516656504183,0.0825559927927375
