Dopant,vac_binding_energy_eV,vac_position
Na,0.07742,near
Mg,0.00961,2NN
Cu,0.06406,2NN
Zn,0.07767,near
Ga,0.09961,near
Ge,0.22611,near
Rh,0.09293,2NN
Pd,0.14238,near
Ag,0.12930,near
Cd,0.07245,2NN
In,0.09685,2NN
Sn,0.16971,near
Sb,0.21557,near
Pt,0.06749,2NN
Au,0.08207,2NN
Hg,0.09775,2NN
Tl,0.08939,2NN
Pb,0.11396,2NN
Bi,0.15251,near
