Dopant,solution_energy_eV
Na,0.18167
Mg,-0.15375
Cu,0.13912
Zn,0.07941
Ga,0.06493
Ge,0.21988
Rh,0.04169
Pd,0.16735
Ag,-0.11688
Cd,-0.21207
In,0.10671
Sn,0.19693
Sb,0.29842
Pt,0.00829
Au,0.20308
Hg,0.07893
Tl,-0.01354
Pb,0.16629
Bi,0.22998
