model,train_R2,train_MaxAE,train_MAE,train_RMSE,cv_R2,cv_MaxAE,cv_MAE,cv_RMSE,test_R2,test_MaxAE,test_MAE,test_RMSE
Ridge,0.2825994302900313,0.28720405178152425,0.08725575811348034,0.11738568127608233,-0.1404737673147889,0.21072996431067814,0.10067630925664266,0.13206395653307884,0.15052453638461205,0.20085576532962496,0.0916623349772112,0.11510999593528384
Lasso,0.0,0.3275377777777778,0.10235802469135802,0.1385907567687268,-0.2652417791237846,0.2292277777777778,0.10041185185185186,0.13746817515692594,-0.16508494597789025,0.2692177777777778,0.11132455555555554,0.13480823243673232
ElasticNet,0.0,0.3275377777777778,0.10235802469135802,0.1385907567687268,-0.2652417791237846,0.2292277777777778,0.10041185185185186,0.13746817515692594,-0.16508494597789025,0.2692177777777778,0.11132455555555554,0.13480823243673232
SVR,0.24357072817791514,0.3275938033460851,0.0699701868496825,0.12053645912396913,0.10759218093784573,0.19074521379474607,0.10020528769504781,0.1204295373338186,-0.14514983294626682,0.24516626284167126,0.10804371431635804,0.13364994243605974
RandomForest,0.6050895498191335,0.22027901050264553,0.059108324885361524,0.0870930659488927,-0.15888557129205183,0.21438662314814816,0.09835812530864195,0.13030432263966316,0.11331694015701799,0.20904929740740733,0.10071271270634916,0.11760392722427718
GradientBoosting,0.7201336600597155,0.18453536527635078,0.05338082454226912,0.07331782961421303,-0.06025987025379868,0.20566720027603305,0.09583192332735972,0.12718834321736275,0.12733161950154448,0.1968269218413529,0.09928713085051441,0.11667081703652397
XGBoost,0.915782663343706,0.10558083338260651,0.025849239652421738,0.04021934723503804,-0.24920235571937957,0.1863581503017743,0.09530139454596571,0.12502968975931136,0.22131733883272797,0.18405057761453092,0.08727236552926151,0.11020920541112178
CatBoost,0.6332095310218678,0.20803417327954976,0.06182742572255215,0.08393503719873442,-0.17893870222459132,0.21195716892175387,0.1038591517710236,0.13104248935852184,0.15225511946645398,0.20835577274084793,0.09775998715732256,0.11499268296879836
