model,train_R2,train_MaxAE,train_MAE,train_RMSE,cv_R2,cv_MaxAE,cv_MAE,cv_RMSE,test_R2,test_MaxAE,test_MAE,test_RMSE
Ridge,0.24772299206063264,0.25378433785880505,0.07164059273884174,0.09956397326573657,-0.5540209683085547,0.17971580748110197,0.08485384648982419,0.11097305442730772,-0.18094238742599678,0.23220187529905073,0.07950151274477923,0.10825026806910197
Lasso,0.0,0.28682888888888886,0.08385925925925924,0.114792450046396,-0.3569528109295132,0.1636733333333333,0.08421111111111108,0.10629650268851805,-0.1900588884628398,0.2484888888888889,0.07880155555555554,0.10866729367462825
ElasticNet,0.0,0.28682888888888886,0.08385925925925924,0.114792450046396,-0.3569528109295132,0.1636733333333333,0.08421111111111108,0.10629650268851805,-0.1900588884628398,0.2484888888888889,0.07880155555555554,0.10866729367462825
SVR,0.1272006882255543,0.3009273622534908,0.06065778996251134,0.10724338730544443,-0.049172556036870096,0.1516313546501486,0.07858085393133754,0.09905044745060297,-0.555398452247128,0.27252332463608314,0.09242345039599983,0.12423256619151272
RandomForest,0.520604405394667,0.20843891190476188,0.052467886230158724,0.07948045499923434,-0.45775077839294814,0.1685042708333333,0.08471007824074074,0.10751178991518606,-0.09757529980898316,0.23311787047619048,0.07852233452380952,0.10435945142090922
GradientBoosting,0.9540760478555987,0.061290157013860314,0.01665715283117854,0.024599877990013282,-0.2691850444493707,0.15882310755306325,0.0829101917180455,0.10400040970961322,-0.2286080552388574,0.22788773393711695,0.09231527036041487,0.11041327815727475
XGBoost,-2.220446049250313e-16,0.2868288885936886,0.08385925935765934,0.114792450046396,-0.35695281475498875,0.16367333335434398,0.08421111111811465,0.10629650272587747,-0.1900588858789367,0.24848888859368862,0.07880155543747544,0.10866729355665687
CatBoost,0.09288559789964146,0.2740525204820036,0.07953032309656018,0.10933126079284536,-0.3692578046424708,0.1638362207610205,0.08439494417096009,0.10654467722299708,-0.17009062427601473,0.24532311785660108,0.07852968122367499,0.10775176053484292
