Dopant,chem_pot_eV,delta_eV
Li,-1.91324,0.00000
Na,-1.31134,0.00000
Mg,-1.49004,0.00000
Cu,-4.10246,0.00000
Zn,-1.70958,-0.44833
Ga,-3.96220,-0.95943
Ge,-6.13438,-1.92612
Rh,-7.73962,-0.39453
Pd,-6.48210,-1.30337
Ag,-3.28510,-0.46448
Cd,-1.44001,-0.53464
In,-3.90902,-1.18777
Sn,-5.93142,-1.92361
Sb,-6.74922,-2.86103
Pt,-7.70889,-1.65179
Au,-4.97478,-1.70149
Hg,-1.46297,-1.16209
Tl,-3.12366,-0.88360
Pb,-5.29922,-1.63723
Bi,-6.09553,-2.27638
