split,n,R2,MaxAE,MAE,RMSE
train,9,0.8464861475928971,0.04832761087687423,0.020033022879064204,0.025093678996932735
test,10,-0.21293466515040782,0.09814628136358688,0.06644608649067055,0.07089399750168295
all_opt,19,0.3451270820227742,0.09814628136358688,0.04446095109569912,0.05425418894722187
