element,endmember_formula,endmember_material_id_raw,endmember_material_id,endmember_fraction,endmember_mp_material_id,endmember_formula_pretty,endmember_energy_per_atom,endmember_energy_above_hull,endmember_theoretical,endmember_is_stable,endmember_crystal_system,endmember_spacegroup_symbol,endmember_spacegroup_number,endmember_density,endmember_volume,endmember_nsites,endmember_selection_rule,endmember_e_hull_max_eV_per_atom,endmember_is_theoretical_fallback,endmember_n_candidates,endmember_n_experimental,endmember_n_near_hull,endmember_material_id_forced,endmember_error
Nd,Nd,mp-123-r2SCAN,mp-123,0.0078125,mp-123,Nd,-29.4180089825,0.0,False,True,Hexagonal,P6_3/mmc,194,6.75439847643831,141.84503754978965,4,endmember_reference,0.1,False,1,1,1,True,
Ni,Ni,mp-23-r2SCAN,mp-23,0.0078125,mp-23,Ni,-11.98171716,0.0,False,True,Cubic,Fm-3m,225,9.289219866096774,10.492020341068946,1,endmember_reference,0.1,False,1,1,1,True,
Os,Os,mp-49-r2SCAN,mp-49,0.0078125,mp-49,Os,-52.98522885,0.0,False,True,Hexagonal,P6_3/mmc,194,22.35969400314296,28.254800538527018,2,endmember_reference,0.1,False,1,1,1,True,
Pb,Li17Pb4,mp-574275-r2SCAN,mp-574275,0.0078125,mp-574275,Li17Pb4,-2.539882521142857,0.0,False,True,Cubic,F-43m,216,3.9612503913609043,1984.4660820546046,105,endmember_reference,0.1,False,1,1,1,True,
Pd,Li15Pd4,mp-1197547-r2SCAN,mp-1197547,0.037109375,mp-1197547,Li15Pd4,-6.957823810263158,0.0,False,True,Cubic,I-43d,220,2.989455744777025,588.5655257185209,38,endmember_reference,0.1,False,1,1,1,True,
Pr,Pr,mp-97-r2SCAN,mp-97,0.0078125,mp-97,Pr,-29.395911823333336,0.008044545000000625,False,False,Cubic,Fm-3m,225,6.276136276343673,223.68793247843672,6,endmember_reference,0.1,False,1,1,1,True,
Pt,Li2Pt,mp-2170-r2SCAN,mp-2170,0.0234375,mp-2170,Li2Pt,-19.34235308,0.0,False,True,Hexagonal,P6/mmm,191,8.710751859323272,39.83539109824836,3,endmember_reference,0.1,False,1,1,1,True,
Re,Re,mp-8-r2SCAN,mp-8,0.0078125,mp-8,Re,-52.407027685,0.003587022499999648,False,False,Hexagonal,P6_3/mmc,194,20.873419048538693,29.626578921964693,2,endmember_reference,0.1,False,1,1,1,True,
Rh,LiRh,mp-600561-r2SCAN,mp-600561,0.015625,mp-600561,LiRh,-13.44747386,0.0,False,True,Hexagonal,P-6m2,187,6.9200978525877295,26.35864531394042,2,endmember_reference,0.1,False,1,1,1,True,
Ru,Ru,mp-33-r2SCAN,mp-33,0.0078125,mp-33,Ru,-25.424535295,0.0,False,True,Hexagonal,P6_3/mmc,194,12.384952667667424,27.10235367049707,2,endmember_reference,0.1,False,1,1,1,True,
Sb,Li3Sb,mp-7955-r2SCAN,mp-7955,0.03125,mp-7955,Li3Sb,-8.96872171,0.0,False,True,Hexagonal,P6_3/mmc,194,3.016532153749956,156.9780330499643,8,endmember_reference,0.1,False,1,1,1,True,
