model,train_R2,train_MaxAE,train_MAE,train_RMSE,cv_R2,cv_MaxAE,cv_MAE,cv_RMSE,test_R2,test_MaxAE,test_MAE,test_RMSE
Ridge,0.4093114626645802,2.563542742089555,0.7120103186038266,0.9281420595506458,0.26824792448611184,2.0667543179754326,0.8091750647040268,1.009962006407526,-35.30440158735215,1.1436749148395167,0.5428675273400536,0.600197616353277
Lasso,0.40011924371449425,2.6561426349966224,0.7235025073192369,0.9353359934319542,0.3524498297589688,2.086593155740442,0.7354564201571554,0.9478501105385391,-74.39315149886274,1.5475254952668664,0.7220630928154058,0.8649292292365877
ElasticNet,0.40930552927453767,2.649526877471681,0.7138033456908301,0.9281467210724773,0.3535432647486232,2.0450039624632264,0.7530095684802962,0.9468357270108263,-72.92975889564296,1.5530771984649228,0.6977716201684823,0.8564938915360945
SVR,0.34570748517099925,2.820167206224488,0.656478436404885,0.9768348783958173,0.16514640255101495,2.4247249820019303,0.8466264058209559,1.086002235697356,-16.874359783426478,0.9781818762680916,0.31562221009571945,0.42114327754986886
RandomForest,0.7912094965089769,1.338224205787151,0.4279745266028102,0.5518112530012523,0.38882548403731004,1.8942963873856957,0.7545973985544171,0.920117891596025,-55.65622344803917,1.3356141419875847,0.6350949127194467,0.7497879148534964
GradientBoosting,0.8967979842354025,0.9879419766262497,0.284873585769731,0.3879531406312929,0.5321181777993423,1.5412950853417777,0.6565266628571574,0.8036389918783442,-63.61234692336156,1.4691220632328006,0.7002229783293412,0.8007047099709276
XGBoost,0.8514945360518895,1.2183797807312011,0.3336331919108033,0.4653785888708934,0.4079428505928057,1.80584781829834,0.7338176861404762,0.9005552394947554,-51.15094518553272,1.3280413885116578,0.6379524645153284,0.7193590588549552
CatBoost,0.8632555261116478,1.083490074750603,0.3282956814973911,0.4465705448907448,0.5500877422740477,1.7939940878100138,0.6062772184208426,0.792095440298555,-23.337446388397893,0.8939511767087351,0.4343521087087874,0.4914192094638288
