model,train_R2,train_MaxAE,train_MAE,train_RMSE,cv_R2,cv_MaxAE,cv_MAE,cv_RMSE,test_R2,test_MaxAE,test_MAE,test_RMSE
Ridge,0.9999999953049056,1.579665727596824e-05,7.904082500960474e-06,9.49634383134545e-06,-0.03347043318244902,0.19967691617017547,0.09695525216428846,0.12540113290752147,0.37451502414670645,0.19444787288371523,0.08076377560641837,0.09877477753254509
Lasso,0.9735274439646525,0.043710214823300536,0.019467439786167374,0.02254925533554974,-0.1845833666363954,0.23314630877006937,0.09276573507843237,0.13657489157384947,0.2519253318676512,0.18888383062624453,0.0955486414206611,0.10802147255111177
ElasticNet,0.9997708735251157,0.004190984429304656,0.0014734748447076233,0.0020978377829939786,0.10429861944569503,0.20179007841054264,0.08002285056786097,0.11862032582178239,0.3979395720476635,0.20509907222157425,0.08503575071211651,0.09690756038433417
SVR,0.9869192925345907,0.016170471388309016,0.015847773782335293,0.01585075243012134,0.26833915184238005,0.1835589161910918,0.08237119859601955,0.11102501686163295,-0.3078688762263664,0.3513223773821997,0.10211016842630838,0.14283009380867104
RandomForest,0.6627733975888146,0.21698263571428572,0.05013698634920635,0.0804813364828799,-0.0423384466172847,0.19987873750000007,0.10186100601851851,0.12504089198288978,0.24535877070553913,0.228359486547619,0.08407261851190474,0.10849454015814419
GradientBoosting,0.9825332594481943,0.04542480547839872,0.012385415276235994,0.018316403444074873,0.2588365418589949,0.16017091105856465,0.08840837530105268,0.10682644799256884,0.5186621681959945,0.134630467621447,0.07460448631200431,0.08664881299549523
XGBoost,0.4352333184295605,0.25454545823454855,0.06995754021763802,0.10415228442992262,-0.2046174972174856,0.22154098513762155,0.10090788655837375,0.13380649533406308,0.09092737614855739,0.2321872165799141,0.09787526440072059,0.11907947430927734
CatBoost,0.9999403181809328,0.002111619352335198,0.0008649893352177244,0.0010706691570864103,0.3041321006040472,0.15704665979833188,0.08900498529642682,0.10628076372432287,0.3881901135544388,0.179834983852513,0.08040789251605143,0.09768904507130002
