model,train_R2,train_MaxAE,train_MAE,train_RMSE,cv_R2,cv_MaxAE,cv_MAE,cv_RMSE,test_R2,test_MaxAE,test_MAE,test_RMSE
Ridge,0.9867997889218915,0.012178766879016645,0.004093944944427227,0.005248784539753206,0.44928897357463543,0.035730185209019216,0.0272059028284569,0.02878656806895777,0.6079827426774549,0.07337750185898587,0.025308102346501916,0.03532341124371348
Lasso,0.43558601136943587,0.07579634884755673,0.02850794256394918,0.034321573647274284,0.10542624321029188,0.0648355351286859,0.027506898023411303,0.039083461620927414,0.23647113541194653,0.09871858051259044,0.03899555929643347,0.04929725922203242
ElasticNet,0.6166419126138327,0.05869382901621337,0.022645452043687855,0.028285940431039797,0.007456456894041508,0.06376499208951349,0.03210001783782785,0.04024219502481892,0.33786886004832917,0.08919155776755663,0.03622236509721831,0.04590733174470145
SVR,0.9994250038530281,0.0014248651250493571,0.0010488146264296225,0.0010954707218726702,0.440283947286457,0.036667625365928026,0.02815342505037789,0.029291487315120934,0.5518944459397799,0.07106478524365087,0.02870958279698658,0.03776593210027953
RandomForest,0.6327358017268834,0.06464740603174582,0.022400880088183386,0.02768583363153542,-0.1970057874558319,0.06616455740740734,0.03666975339506173,0.04520654032772218,0.16912982458701709,0.1049151236507936,0.03876276789682537,0.051425275801546065
GradientBoosting,0.9999844146859985,0.00034904157417639525,0.00015571058054562726,0.0001803541275253517,0.07306417054030434,0.05653798812115979,0.03182828184467129,0.037263610265088544,0.22900285038991297,0.1124341340841919,0.03798259952305488,0.049537767533404595
XGBoost,0.4984324820399165,0.07536285836219789,0.026089126155376435,0.03235437458776639,-0.27558201281755607,0.06912509991645814,0.03737913001139959,0.0467364775184556,0.20211932031205126,0.10032634164333343,0.038644292747974394,0.05039402174565175
CatBoost,0.9999268211719904,0.0006978702115536112,0.00031857771361547423,0.00039080582879185604,0.22169744231836394,0.056294780268658806,0.02648791108580083,0.035219482305058676,0.2785331181745351,0.10109424769494935,0.036968879930060386,0.04792015836170507
