element,endmember_material_id,role,endmember_MagpieData minimum Number,endmember_MagpieData maximum Number,endmember_MagpieData range Number,endmember_MagpieData mean Number,endmember_MagpieData avg_dev Number,endmember_MagpieData mode Number,endmember_MagpieData minimum MendeleevNumber,endmember_MagpieData maximum MendeleevNumber,endmember_MagpieData range MendeleevNumber,endmember_MagpieData mean MendeleevNumber,endmember_MagpieData avg_dev MendeleevNumber,endmember_MagpieData mode MendeleevNumber,endmember_MagpieData minimum AtomicWeight,endmember_MagpieData maximum AtomicWeight,endmember_MagpieData range AtomicWeight,endmember_MagpieData mean AtomicWeight,endmember_MagpieData avg_dev AtomicWeight,endmember_MagpieData mode AtomicWeight,endmember_MagpieData minimum MeltingT,endmember_MagpieData maximum MeltingT,endmember_MagpieData range MeltingT,endmember_MagpieData mean MeltingT,endmember_MagpieData avg_dev MeltingT,endmember_MagpieData mode MeltingT,endmember_MagpieData minimum Column,endmember_MagpieData maximum Column,endmember_MagpieData range Column,endmember_MagpieData mean Column,endmember_MagpieData avg_dev Column,endmember_MagpieData mode Column,endmember_MagpieData minimum Row,endmember_MagpieData maximum Row,endmember_MagpieData range Row,endmember_MagpieData mean Row,endmember_MagpieData avg_dev Row,endmember_MagpieData mode Row,endmember_MagpieData minimum CovalentRadius,endmember_MagpieData maximum CovalentRadius,endmember_MagpieData range CovalentRadius,endmember_MagpieData mean CovalentRadius,endmember_MagpieData avg_dev CovalentRadius,endmember_MagpieData mode CovalentRadius,endmember_MagpieData minimum Electronegativity,endmember_MagpieData maximum Electronegativity,endmember_MagpieData range Electronegativity,endmember_MagpieData mean Electronegativity,endmember_MagpieData avg_dev Electronegativity,endmember_MagpieData mode Electronegativity,endmember_MagpieData minimum NsValence,endmember_MagpieData maximum NsValence,endmember_MagpieData range NsValence,endmember_MagpieData mean NsValence,endmember_MagpieData avg_dev NsValence,endmember_MagpieData mode NsValence,endmember_MagpieData minimum NpValence,endmember_MagpieData maximum NpValence,endmember_MagpieData range NpValence,endmember_MagpieData mean NpValence,endmember_MagpieData avg_dev NpValence,endmember_MagpieData mode NpValence,endmember_MagpieData minimum NdValence,endmember_MagpieData maximum NdValence,endmember_MagpieData range NdValence,endmember_MagpieData mean NdValence,endmember_MagpieData avg_dev NdValence,endmember_MagpieData mode NdValence,endmember_MagpieData minimum NfValence,endmember_MagpieData maximum NfValence,endmember_MagpieData range NfValence,endmember_MagpieData mean NfValence,endmember_MagpieData avg_dev NfValence,endmember_MagpieData mode NfValence,endmember_MagpieData minimum NValence,endmember_MagpieData maximum NValence,endmember_MagpieData range NValence,endmember_MagpieData mean NValence,endmember_MagpieData avg_dev NValence,endmember_MagpieData mode NValence,endmember_MagpieData minimum NsUnfilled,endmember_MagpieData maximum NsUnfilled,endmember_MagpieData range NsUnfilled,endmember_MagpieData mean NsUnfilled,endmember_MagpieData avg_dev NsUnfilled,endmember_MagpieData mode NsUnfilled,endmember_MagpieData minimum NpUnfilled,endmember_MagpieData maximum NpUnfilled,endmember_MagpieData range NpUnfilled,endmember_MagpieData mean NpUnfilled,endmember_MagpieData avg_dev NpUnfilled,endmember_MagpieData mode NpUnfilled,endmember_MagpieData minimum NdUnfilled,endmember_MagpieData maximum NdUnfilled,endmember_MagpieData range NdUnfilled,endmember_MagpieData mean NdUnfilled,endmember_MagpieData avg_dev NdUnfilled,endmember_MagpieData mode NdUnfilled,endmember_MagpieData minimum NfUnfilled,endmember_MagpieData maximum NfUnfilled,endmember_MagpieData range NfUnfilled,endmember_MagpieData mean NfUnfilled,endmember_MagpieData avg_dev NfUnfilled,endmember_MagpieData mode NfUnfilled,endmember_MagpieData minimum NUnfilled,endmember_MagpieData maximum NUnfilled,endmember_MagpieData range NUnfilled,endmember_MagpieData mean NUnfilled,endmember_MagpieData avg_dev NUnfilled,endmember_MagpieData mode NUnfilled,endmember_MagpieData minimum GSvolume_pa,endmember_MagpieData maximum GSvolume_pa,endmember_MagpieData range GSvolume_pa,endmember_MagpieData mean GSvolume_pa,endmember_MagpieData avg_dev GSvolume_pa,endmember_MagpieData mode GSvolume_pa,endmember_MagpieData minimum GSbandgap,endmember_MagpieData maximum GSbandgap,endmember_MagpieData range GSbandgap,endmember_MagpieData mean GSbandgap,endmember_MagpieData avg_dev GSbandgap,endmember_MagpieData mode GSbandgap,endmember_MagpieData minimum GSmagmom,endmember_MagpieData maximum GSmagmom,endmember_MagpieData range GSmagmom,endmember_MagpieData mean GSmagmom,endmember_MagpieData avg_dev GSmagmom,endmember_MagpieData mode GSmagmom,endmember_MagpieData minimum SpaceGroupNumber,endmember_MagpieData maximum SpaceGroupNumber,endmember_MagpieData range SpaceGroupNumber,endmember_MagpieData mean SpaceGroupNumber,endmember_MagpieData avg_dev SpaceGroupNumber,endmember_MagpieData mode SpaceGroupNumber,endmember_density,endmember_vpa,endmember_packing fraction,endmember_spacegroup_num,endmember_crystal_system,endmember_crystal_system_int,endmember_is_centrosymmetric,endmember_n_symmetry_ops
Cr,mp-90,endmember,24.0,24.0,0.0,24.0,0.0,24.0,49.0,49.0,0.0,49.0,0.0,49.0,51.9961,51.9961,0.0,51.9961,0.0,51.9961,2180.0,2180.0,0.0,2180.0,0.0,2180.0,6.0,6.0,0.0,6.0,0.0,6.0,4.0,4.0,0.0,4.0,0.0,4.0,139.0,139.0,0.0,139.0,0.0,139.0,1.66,1.66,0.0,1.66,0.0,1.66,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,11.19,11.19,0.0,11.19,0.0,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,229.0,0.0,229.0,0.0,229.0,6.598776794003701,13.084478862799184,0.8784484611468062,229,cubic,1,True,96
Cu,mp-30,endmember,29.0,29.0,0.0,29.0,0.0,29.0,64.0,64.0,0.0,64.0,0.0,64.0,63.546,63.546,0.0,63.546,0.0,63.546,1357.77,1357.77,0.0,1357.77,0.0,1357.77,11.0,11.0,0.0,11.0,0.0,11.0,4.0,4.0,0.0,4.0,0.0,4.0,132.0,132.0,0.0,132.0,0.0,132.0,1.9,1.9,0.0,1.9,0.0,1.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,0.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,11.07,11.07,0.0,11.07,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0,9.218996060025667,11.445998564977856,0.9004015369733935,225,cubic,1,True,48
Fe,mp-13,endmember,26.0,26.0,0.0,26.0,0.0,26.0,55.0,55.0,0.0,55.0,0.0,55.0,55.845,55.845,0.0,55.845,0.0,55.845,1811.0,1811.0,0.0,1811.0,0.0,1811.0,8.0,8.0,0.0,8.0,0.0,8.0,4.0,4.0,0.0,4.0,0.0,4.0,132.0,132.0,0.0,132.0,0.0,132.0,1.83,1.83,0.0,1.83,0.0,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,10.73,10.73,0.0,10.73,0.0,10.73,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.0,2.1106628,0.0,2.1106628,229.0,229.0,0.0,229.0,0.0,229.0,7.902858241785766,11.734084234678496,0.9795430211728646,229,cubic,1,True,16
Ga,mp-29210,endmember,3.0,31.0,28.0,12.333333333333334,12.444444444444443,3.0,1.0,74.0,73.0,25.333333333333332,32.44444444444445,1.0,6.941,69.723,62.782,27.868333333333336,27.903111111111112,6.941,302.91,453.69,150.77999999999997,403.43,67.01333333333332,453.69,1.0,13.0,12.0,5.0,5.333333333333333,1.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,122.0,128.0,6.0,126.0,2.6666666666666665,128.0,0.98,1.81,0.8300000000000001,1.2566666666666666,0.3688888888888889,0.98,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,12.0,5.0,5.333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,5.0,5.0,1.6666666666666667,2.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.3333333333333335,1.777777777777778,1.0,16.5933333333,18.8575,2.264166666700003,17.348055555533332,1.0062962963111122,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,174.0,73.33333333333333,229.0,3.073765027419936,15.055300542777394,0.7692279330975563,63,orthorhombic,5,True,8
Ge,mp-1777,endmember,3.0,32.0,29.0,9.105263157894736,9.639889196675899,3.0,1.0,79.0,78.0,17.42105263157895,25.92797783933518,1.0,6.941,72.64,65.699,20.772368421052633,21.839002770083102,6.941,453.69,1211.4,757.71,613.2078947368421,251.8703601108034,453.69,1.0,14.0,13.0,3.736842105263158,4.321329639889197,1.0,2.0,4.0,2.0,2.4210526315789473,0.6648199445983379,2.0,120.0,128.0,8.0,126.3157894736842,2.659279778393355,128.0,0.98,2.01,1.0299999999999998,1.1968421052631577,0.3423822714681439,0.98,1.0,2.0,1.0,1.2105263157894737,0.33240997229916897,1.0,0.0,2.0,2.0,0.42105263157894735,0.6648199445983379,0.0,0.0,10.0,10.0,2.1052631578947367,3.32409972299169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,3.736842105263158,4.321329639889197,1.0,0.0,1.0,1.0,0.7894736842105263,0.33240997229916897,1.0,0.0,4.0,4.0,0.8421052631578947,1.3296398891966759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.631578947368421,0.9972299168975068,1.0,16.5933333333,23.005,6.4116666667,17.943157894710524,2.1313019390692514,16.5933333333,0.0,0.383,0.383,0.08063157894736843,0.12731301939058173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,228.1578947368421,1.3296398891966732,229.0,2.204826685254165,15.644462917583775,0.7545150831602236,220,cubic,1,False,24
Hf,mp-103,endmember,72.0,72.0,0.0,72.0,0.0,72.0,45.0,45.0,0.0,45.0,0.0,45.0,178.49,178.49,0.0,178.49,0.0,178.49,2506.0,2506.0,0.0,2506.0,0.0,2506.0,4.0,4.0,0.0,4.0,0.0,4.0,6.0,6.0,0.0,6.0,0.0,6.0,175.0,175.0,0.0,175.0,0.0,175.0,1.3,1.3,0.0,1.3,0.0,1.3,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,14.0,14.0,0.0,14.0,0.0,14.0,18.0,18.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,22.2,22.2,0.0,22.2,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,13.312731494192928,22.26362174740903,0.7006286443787715,194,hexagonal,2,True,24
Hg,mp-1646,endmember,3.0,80.0,77.0,22.25,28.875,3.0,1.0,71.0,70.0,18.5,26.25,1.0,6.941,200.59,193.649,55.35325,72.618375,6.941,234.32,453.69,219.37,398.84749999999997,82.26375000000002,453.69,1.0,12.0,11.0,3.75,4.125,1.0,2.0,6.0,4.0,3.0,1.5,2.0,128.0,132.0,4.0,129.0,1.5,128.0,0.98,2.0,1.02,1.2349999999999999,0.38249999999999995,0.98,1.0,2.0,1.0,1.25,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,14.0,14.0,3.5,5.25,0.0,1.0,26.0,25.0,7.25,9.375,1.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.375,1.0,16.5933333333,25.2375862069,8.644252873600003,18.7543965517,3.241594827600002,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,213.25,23.625,229.0,5.39086199804241,17.05037788948662,0.769005222278595,139,tetragonal,4,True,16
In,mp-510430,endmember,3.0,49.0,46.0,11.625,14.015625,3.0,1.0,75.0,74.0,14.875,22.546875,1.0,6.941,114.818,107.877,27.1679375,32.868773437499996,6.941,429.75,453.69,23.939999999999998,449.20125,7.294218749999988,453.69,1.0,13.0,12.0,3.25,3.65625,1.0,2.0,5.0,3.0,2.5625,0.9140625,2.0,128.0,142.0,14.0,130.625,4.265625,128.0,0.98,1.78,0.8,1.13,0.24374999999999997,0.98,1.0,2.0,1.0,1.1875,0.3046875,1.0,0.0,1.0,1.0,0.1875,0.3046875,0.0,0.0,10.0,10.0,1.875,3.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,12.0,3.25,3.65625,1.0,0.0,1.0,1.0,0.8125,0.3046875,1.0,0.0,5.0,5.0,0.9375,1.5234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.75,1.21875,1.0,16.5933333333,24.26,7.666666666700003,18.030833333306248,2.3359375000101563,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,229.0,90.0,212.125,27.421875,229.0,2.5017113544371603,18.03302429783169,0.7375574073562523,227,cubic,1,True,48
Ir,mp-279,endmember,3.0,77.0,74.0,40.0,37.0,3.0,1.0,60.0,59.0,30.5,29.5,1.0,6.941,192.217,185.276,99.57900000000001,92.638,6.941,453.69,2739.0,2285.31,1596.345,1142.655,453.69,1.0,9.0,8.0,5.0,4.0,1.0,2.0,6.0,4.0,4.0,2.0,2.0,128.0,141.0,13.0,134.5,6.5,128.0,0.98,2.2,1.2200000000000002,1.59,0.6100000000000001,0.98,1.0,2.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.5,3.5,0.0,0.0,14.0,14.0,7.0,7.0,0.0,1.0,23.0,22.0,12.0,11.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,14.21,16.5933333333,2.3833333332999977,15.40166666665,1.1916666666499989,14.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,227.0,2.0,225.0,12.456833041024145,13.274226233860634,0.8692049100121771,187,hexagonal,2,False,12
K,mp-58,endmember,19.0,19.0,0.0,19.0,0.0,19.0,3.0,3.0,0.0,3.0,0.0,3.0,39.0983,39.0983,0.0,39.0983,0.0,39.0983,336.53,336.53,0.0,336.53,0.0,336.53,1.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,4.0,0.0,4.0,203.0,203.0,0.0,203.0,0.0,203.0,0.82,0.82,0.0,0.82,0.0,0.82,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,73.1066666667,73.1066666667,0.0,73.1066666667,0.0,73.1066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,229.0,0.0,229.0,0.0,229.0,0.8268645220441784,78.51861211537867,0.5680466949036876,229,cubic,1,True,48
La,mp-26,endmember,57.0,57.0,0.0,57.0,0.0,57.0,13.0,13.0,0.0,13.0,0.0,13.0,138.90547,138.90547,0.0,138.90547,0.0,138.90547,1193.0,1193.0,0.0,1193.0,0.0,1193.0,3.0,3.0,0.0,3.0,0.0,3.0,6.0,6.0,0.0,6.0,0.0,6.0,207.0,207.0,0.0,207.0,0.0,207.0,1.1,1.1,0.0,1.1,0.0,1.1,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,9.0,0.0,9.0,36.8975,36.8975,0.0,36.8975,0.0,36.8975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,6.139065901187602,37.572158946375566,0.8266587984481966,194,hexagonal,2,True,24
Mg,mp-153,endmember,12.0,12.0,0.0,12.0,0.0,12.0,68.0,68.0,0.0,68.0,0.0,68.0,24.305,24.305,0.0,24.305,0.0,24.305,923.0,923.0,0.0,923.0,0.0,923.0,2.0,2.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,3.0,0.0,3.0,141.0,141.0,0.0,141.0,0.0,141.0,1.31,1.31,0.0,1.31,0.0,1.31,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.89,22.89,0.0,22.89,0.0,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,1.8017993871104938,22.399498167675635,0.6311376636801262,194,hexagonal,2,True,24
Mn,mp-35,endmember,25.0,25.0,0.0,25.0,0.0,25.0,52.0,52.0,0.0,52.0,0.0,52.0,54.938045,54.938045,0.0,54.938045,0.0,54.938045,1519.0,1519.0,0.0,1519.0,0.0,1519.0,7.0,7.0,0.0,7.0,0.0,7.0,4.0,4.0,0.0,4.0,0.0,4.0,139.0,139.0,0.0,139.0,0.0,139.0,1.55,1.55,0.0,1.55,0.0,1.55,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,10.4875862069,10.4875862069,0.0,10.4875862069,0.0,10.4875862069,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,0.0,0.000310120689655,0.0,0.000310120689655,217.0,217.0,0.0,217.0,0.0,217.0,7.005220786623814,13.02268306329172,0.882616912818312,217,cubic,1,False,24
Mo,mp-129,endmember,42.0,42.0,0.0,42.0,0.0,42.0,50.0,50.0,0.0,50.0,0.0,50.0,95.96,95.96,0.0,95.96,0.0,95.96,2896.0,2896.0,0.0,2896.0,0.0,2896.0,6.0,6.0,0.0,6.0,0.0,6.0,5.0,5.0,0.0,5.0,0.0,5.0,154.0,154.0,0.0,154.0,0.0,154.0,2.16,2.16,0.0,2.16,0.0,2.16,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,15.69,15.69,0.0,15.69,0.0,15.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,229.0,0.0,229.0,0.0,229.0,10.02490866313136,15.89162790660502,0.8035709502586145,229,cubic,1,True,48
Na,mp-127,endmember,11.0,11.0,0.0,11.0,0.0,11.0,2.0,2.0,0.0,2.0,0.0,2.0,22.98976928,22.98976928,0.0,22.98976928,0.0,22.98976928,370.87,370.87,0.0,370.87,0.0,370.87,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,166.0,166.0,0.0,166.0,0.0,166.0,0.93,0.93,0.0,0.93,0.0,0.93,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,29.2433333333,29.2433333333,0.0,29.2433333333,0.0,29.2433333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,229.0,0.0,229.0,0.0,229.0,1.0246367263907339,37.25750706727941,0.6556805969385023,229,cubic,1,True,48
Nb,mp-75,endmember,41.0,41.0,0.0,41.0,0.0,41.0,47.0,47.0,0.0,47.0,0.0,47.0,92.90638,92.90638,0.0,92.90638,0.0,92.90638,2750.0,2750.0,0.0,2750.0,0.0,2750.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,164.0,164.0,0.0,164.0,0.0,164.0,1.6,1.6,0.0,1.6,0.0,1.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,18.18,18.18,0.0,18.18,0.0,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,229.0,0.0,229.0,0.0,229.0,8.449671971791625,18.258066615716924,0.699419648686909,229,cubic,1,True,48
Nd,mp-123,endmember,60.0,60.0,0.0,60.0,0.0,60.0,19.0,19.0,0.0,19.0,0.0,19.0,144.242,144.242,0.0,144.242,0.0,144.242,1294.0,1294.0,0.0,1294.0,0.0,1294.0,3.0,3.0,0.0,3.0,0.0,3.0,6.0,6.0,0.0,6.0,0.0,6.0,201.0,201.0,0.0,201.0,0.0,201.0,1.14,1.14,0.0,1.14,0.0,1.14,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,34.81,34.81,0.0,34.81,0.0,34.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,6.75439847643831,35.46125938744741,0.7479105152641264,194,hexagonal,2,True,24
Ni,mp-23,endmember,28.0,28.0,0.0,28.0,0.0,28.0,61.0,61.0,0.0,61.0,0.0,61.0,58.6934,58.6934,0.0,58.6934,0.0,58.6934,1728.0,1728.0,0.0,1728.0,0.0,1728.0,10.0,10.0,0.0,10.0,0.0,10.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,124.0,0.0,124.0,0.0,124.0,1.91,1.91,0.0,1.91,0.0,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,10.32,10.32,0.0,10.32,0.0,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.0,0.5953947,0.0,0.5953947,225.0,225.0,0.0,225.0,0.0,225.0,9.289219866096774,10.492020341068946,0.9822697979111357,225,cubic,1,True,48
